Brand,Model,Size_in,Throat_in,Diameter_mm,Z_ohm,Re_ohm,Le_mH,Bl_Tm,Sd_cm2,Mms_g,Mmd_g,Cms_mm_per_N,Vas_L,Fs_Hz,Qms,Qes,Qts,Rms_kg_per_s,Xmax_mm,Power_W,Sensitivity_dB,XO_min_Hz,Freq_low_Hz,Source_URL
18Sound,ND1480,,1.4,131,8.0,,,,,,,,,,,,,,,100,110.0,800.0,500.0,https://eighteensound.it/en/products/hf-driver/1-4/8/ND1480
18Sound,nd1480,,1.4,131,16.0,,,,,,,,,,,,,,,100,110.0,800.0,500.0,https://eighteensound.it/en/products/hf-driver/1-4/16/nd1480%2016ohm
18Sound,ND1480A,,1.4,131,8.0,,,,,,,,,,,,,,,80,111.0,1000.0,500.0,https://eighteensound.it/en/products/hf-driver/1-4/8/ND1480A
18Sound,nd1480a,,1.4,131,16.0,,,,,,,,,,,,,,,80,111.0,1000.0,500.0,https://eighteensound.it/en/products/hf-driver/1-4/16/nd1480a%2016ohm
18Sound,ND1480BE,,1.4,131,16.0,,,,,,,,,,,,,,,80,112.0,,500.0,https://eighteensound.it/en/products/hf-driver/1-4/16/ND1480BE
18Sound,nd1p,,1.0,85,8.0,,,,,,,,,,,,,,,50,109.0,1600.0,1600.0,https://eighteensound.it/en/products/hf-driver/1-0/8/nd1p
18Sound,nd1p-,,1.0,85,16.0,,,,,,,,,,,,,,,50,109.0,1600.0,1600.0,https://eighteensound.it/en/products/hf-driver/1-0/16/nd1p-16%20ohm
18Sound,nd1tp,,1.0,85,8.0,,,,,,,,,,,,,,,50,110.0,1600.0,1600.0,https://eighteensound.it/en/products/hf-driver/1-0/8/nd1tp
18Sound,nd1tp-,,1.0,85,16.0,,,,,,,,,,,,,,,50,110.0,1600.0,1600.0,https://eighteensound.it/en/products/hf-driver/1-0/16/nd1tp-16ohm
18Sound,ND2060,,2.0,132,8.0,,,,,,,,,,,,,,,100,109.0,800.0,500.0,https://eighteensound.it/en/products/hf-driver/2-0/8/ND2060
18Sound,nd2060,,2.0,132,16.0,,,,,,,,,,,,,,,100,109.0,800.0,500.0,https://eighteensound.it/en/products/hf-driver/2-0/16/nd2060
